ali|42201-93393-2|ali88|12|1|2026-05-18 18:51:56
aimal|42201-2345678-3|aimal33|13|1|2026-05-18 18:52:09
eman|42201-23456-2|mano|15|1|2026-05-18 18:54:20
ubaid|42201-2345678-3|ubd|16|2|2026-05-19 07:22:38
farooq|42201-2345678-5|fq|17|2|2026-05-19 07:22:51
arif|23456789|ari|18|2|2026-05-19 07:23:08
waseem|23456789|wb|19|2|2026-05-19 07:23:33
faris|1234567899|fr|20|2|2026-05-19 07:25:14
aqsaubaid|42201-4073969-8|au11|1|0|2026-05-19 09:23:47
aqsa farooq|42201-23456-2|af44|11|1|2026-05-19 09:24:33
shahid|4220-23452|sh11|14|1|2026-05-19 09:26:26
